date,url,content,reply,retweet,like,view
2022-12-10 21:38:10+00:00,https://twitter.com/Twitter/status/1601692776684736512,thanks for your patience as we’ve worked to make Blue better – we’re excited and looking forward to sharing more with you soon!,780,540,5552,
2022-12-10 21:38:10+00:00,https://twitter.com/Twitter/status/1601692774486528000,"subscribers will be able to change their handle, display name or profile photo, but if they do they’ll temporarily lose the blue checkmark until their account is reviewed again",877,674,5672,
2022-12-10 21:38:09+00:00,https://twitter.com/Twitter/status/1601692772678762496,"we’ll begin replacing that “official” label with a gold checkmark for businesses, and later in the week a grey checkmark for government and multilateral accounts",231,617,4349,
2022-12-10 21:38:09+00:00,https://twitter.com/Twitter/status/1601692771001454592,"when you subscribe you’ll get Edit Tweet, 1080p video uploads, reader mode, and a blue checkmark (after your account has been reviewed)",469,1256,12850,
2022-12-10 21:38:08+00:00,https://twitter.com/Twitter/status/1601692766257709056,"we’re relaunching @TwitterBlue on Monday – subscribe on web for $8/month or on iOS for $11/month to get access to subscriber-only features, including the blue checkmark 🧵 https://t.co/DvvsLoSO50",6973,5061,28215,
2022-10-13 21:41:45+00:00,https://twitter.com/Twitter/status/1580675180602413057,@ElenbaasHier 🥺,106,23,1836,
2022-10-13 21:41:17+00:00,https://twitter.com/Twitter/status/1580675065980805120,@kufesteezz does this help,78,15,676,
2022-10-13 21:41:04+00:00,https://twitter.com/Twitter/status/1580675008497475584,@MasonCollects only have one,25,3,132,
2022-10-13 21:40:47+00:00,https://twitter.com/Twitter/status/1580674940252000256,@abdulsabooh789 not happening,22,1,270,
2022-10-13 21:40:26+00:00,https://twitter.com/Twitter/status/1580674850250596352,@ThaddarMyat soon,14,5,83,
2022-10-13 21:34:30+00:00,https://twitter.com/Twitter/status/1580673355098640384,@vikaara_jeevi more people than we can name,12,5,178,
2022-10-13 21:31:35+00:00,https://twitter.com/Twitter/status/1580672623297458176,@rudeger_ HUGE W,10,7,130,
2022-10-13 21:30:39+00:00,https://twitter.com/Twitter/status/1580672388156469250,@wikyupedia you're right,10,3,96,
2022-10-13 20:47:08+00:00,https://twitter.com/Twitter/status/1580661436132757506,a hit Tweet https://t.co/2C7cah4KzW,4486,2192,41847,
2022-10-05 18:40:30+00:00,https://twitter.com/Twitter/status/1577730467436138524,"whoa, it works

now everyone can mix GIFs, videos, and images in one Tweet, available on iOS and Android https://t.co/LVVolAQPZi",2739,3137,21045,
2022-09-01 12:40:08+00:00,https://twitter.com/Twitter/status/1565318587736285184,"if you see an edited Tweet it's because we're testing the edit button

this is happening and you'll be okay",21487,48063,369649,
2022-08-30 19:21:35+00:00,https://twitter.com/Twitter/status/1564694842311049217,who is brave enough to add us to their Twitter Circle?,7587,4087,51369,
2022-08-30 13:00:24+00:00,https://twitter.com/Twitter/status/1564598913784549376,"giving you all Twitter Circle because sometimes your Tweets aren’t for everyone 

add up to 150 people to yours and use it. please. https://t.co/D6AE4OhRX5",1996,2231,16598,
2022-08-11 17:20:25+00:00,https://twitter.com/Twitter/status/1557778979511222277,@wikyupedia fixing!,92,7,930,
2022-08-11 17:08:27+00:00,https://twitter.com/Twitter/status/1557775969573896195,@itsme_iliana incredible,31,5,609,
2022-08-11 17:03:36+00:00,https://twitter.com/Twitter/status/1557774747714330627,@harringtonsbmw hahah,27,1,243,
2022-08-11 16:53:57+00:00,https://twitter.com/Twitter/status/1557772317555671045,@laswagna don't know why but this is funny,34,19,3487,
2022-08-11 16:49:34+00:00,https://twitter.com/Twitter/status/1557771217741938690,@6hafiq real,33,41,1618,
2022-08-11 16:39:49+00:00,https://twitter.com/Twitter/status/1557768760580268032,@hannahhsamantha cute enough,32,15,2774,
2022-08-11 16:30:31+00:00,https://twitter.com/Twitter/status/1557766422125740032,will follow anyone who makes us laugh,47792,9801,137777,
2022-08-05 19:05:44+00:00,https://twitter.com/Twitter/status/1555631156355284993,@_mohyudin is your phone battery ok,24,1,244,
2022-08-05 19:05:42+00:00,https://twitter.com/Twitter/status/1555631148113567745,@doc_romcom we're all just doing the same thing,16,3,104,
2022-08-05 19:05:39+00:00,https://twitter.com/Twitter/status/1555631135639617536,"@MichaelBucwa sure, send a calendar invite",25,46,497,
2022-08-05 18:13:46+00:00,https://twitter.com/Twitter/status/1555618078481858561,RT if you just closed and reopened this app,3109,15601,35070,
2022-07-26 16:28:54+00:00,https://twitter.com/Twitter/status/1551967807428071431,wishing everyone with less than 350 followers a very nice day,72242,74060,933284,
2022-06-30 17:52:17+00:00,https://twitter.com/Twitter/status/1542566710594658312,if you've ever stolen a Tweet say sorry,15559,12067,116203,
2022-06-23 20:37:17+00:00,https://twitter.com/Twitter/status/1540071516527890433,"@Arkunir non, toujours pas",100,233,11295,
2022-06-23 19:48:13+00:00,https://twitter.com/Twitter/status/1540059169771978754,we would know,978,690,20437,
2022-06-23 19:46:10+00:00,https://twitter.com/Twitter/status/1540058653155278849,ratios build character,4895,10224,134395,
2022-04-01 17:50:07+00:00,https://twitter.com/Twitter/status/1509951255388504066,we are working on an edit button,62155,115346,1303566,
2022-03-30 17:10:59+00:00,https://twitter.com/Twitter/status/1509216629695168512,@McDonalds we ordered those 5 months ago… we want snack wraps now,174,388,18432,
2022-03-30 16:42:16+00:00,https://twitter.com/Twitter/status/1509209405937627143,@lwtsphh he's defrosting for the single drop,84,1392,20210,
2022-03-30 16:40:35+00:00,https://twitter.com/Twitter/status/1509208980035457030,@jeffbcraven yay jeff,20,12,795,
2022-03-30 16:40:32+00:00,https://twitter.com/Twitter/status/1509208967792238592,@BTS_Factss the bird has to Tweet too,616,932,33042,
2022-03-30 16:39:27+00:00,https://twitter.com/Twitter/status/1509208694596190213,@blackprints yeah that's why we had to check on you,55,146,6859,
2022-03-30 16:37:51+00:00,https://twitter.com/Twitter/status/1509208291246805002,@praatyy are we friends?,129,79,64173,
2022-03-30 16:37:48+00:00,https://twitter.com/Twitter/status/1509208278680715265,@eihsip hahahahahahahahahahahaha 😭,53,142,3282,
2022-03-30 16:35:50+00:00,https://twitter.com/Twitter/status/1509207786256744452,"@lennisminuit can confirm, not a good feeling",8,5,133,
2022-03-30 16:35:31+00:00,https://twitter.com/Twitter/status/1509207707307417602,@SPARTlNN not showing it at all!,25,13,3349,
2022-03-30 16:35:19+00:00,https://twitter.com/Twitter/status/1509207656506040322,@jacekth good,12,6,176,
2022-03-30 16:35:15+00:00,https://twitter.com/Twitter/status/1509207639955316747,@Mupf05YT meh,113,480,12606,
2022-03-30 16:30:38+00:00,https://twitter.com/Twitter/status/1509206476874784769,you good?,60894,41113,477491,
2022-03-23 20:02:12+00:00,https://twitter.com/Twitter/status/1506723004994174981,now you can search for really important things in your DMs https://t.co/pZP6TMYyEN,2315,2399,27175,
2022-03-15 15:32:31+00:00,https://twitter.com/Twitter/status/1503756035554689025,@louanben what is 🥳 + 💙?,33,4,150,
2022-02-17 22:20:46+00:00,https://twitter.com/Twitter/status/1494436688554344449,https://t.co/824UoJmqtx,1053,716,5416,
2022-02-17 19:01:44+00:00,https://twitter.com/Twitter/status/1494386599781675015,we asked the engineers if we could pin a DM and they said NO! YOU CAN PIN SIX!,4197,4363,46284,
2022-02-16 20:27:27+00:00,https://twitter.com/Twitter/status/1494045784853127178,"@EmojiMashupBot thank you, you're one of the #GoodBots https://t.co/IOQSAeRh2S",104,131,2386,
2022-02-16 20:09:57+00:00,https://twitter.com/Twitter/status/1494041377583337473,laughing but crying,4008,13934,91425,
2022-02-14 01:42:59+00:00,https://twitter.com/Twitter/status/1493038025688993794,"@SourPatchKids 10,000 Sour Patch Watermelons. Sending you an invoice ASAP",33,16,651,
2022-02-14 01:40:09+00:00,https://twitter.com/Twitter/status/1493037313789730824,@pizzahut well you're a subject matter expert 👀,15,8,377,
2022-02-14 01:39:16+00:00,https://twitter.com/Twitter/status/1493037093244870656,@McDonaldsCanada didn't even have to leave the couch,10,7,474,
2022-02-14 01:01:53+00:00,https://twitter.com/Twitter/status/1493027682795335680,this Tweet is our Super Bowl commercial,2043,3473,46855,
2022-02-11 13:09:06+00:00,https://twitter.com/Twitter/status/1492123531777294339,@LarryZiamNialer having a little oomf,13,8,460,
2022-02-11 13:09:04+00:00,https://twitter.com/Twitter/status/1492123523564941314,@tragicbabie sleep in,8,4,169,
2022-02-11 13:03:57+00:00,https://twitter.com/Twitter/status/1492122232193052672,@cassieglows a million and two,15,2,235,
2022-02-11 13:03:48+00:00,https://twitter.com/Twitter/status/1492122194431954949,"@KoldKirby 999,999 more to go",8,4,570,
2022-02-11 12:59:31+00:00,https://twitter.com/Twitter/status/1492121116118294533,@olpafc_ just say the magic word,19,8,160,
2022-02-11 12:59:27+00:00,https://twitter.com/Twitter/status/1492121099563413510,@its_menieb no just try again tonight,15,3,475,
2022-02-11 12:58:40+00:00,https://twitter.com/Twitter/status/1492120906294038531,@ven0ph it's bad for you,19,13,1329,
2022-02-11 12:55:37+00:00,https://twitter.com/Twitter/status/1492120137205526528,"oh good you're up, here are a million Tweets to look at",3285,4681,59086,
2022-02-08 16:40:20+00:00,https://twitter.com/Twitter/status/1491089523291394052,@Seipati_Sanity guess what we voted,88,27,1527,
2022-02-08 16:40:18+00:00,https://twitter.com/Twitter/status/1491089514818846723,@itssemya ok,9,4,436,
2022-02-08 16:24:11+00:00,https://twitter.com/Twitter/status/1491085462013759491,@mmishaal_xx are you new here?,138,215,9768,
2022-02-08 16:22:10+00:00,https://twitter.com/Twitter/status/1491084952846352388,@OnlineBigBros who signed,286,89,4030,
2022-02-08 16:22:07+00:00,https://twitter.com/Twitter/status/1491084940624248836,@iamawaisuddin 💔,10,13,429,
2022-02-08 16:21:04+00:00,https://twitter.com/Twitter/status/1491084675225427969,@CopraGemini32 just reminiscing,115,56,958,
2022-02-08 16:19:47+00:00,https://twitter.com/Twitter/status/1491084352800894978,@blossom_bobaa oh.,9,7,356,
2022-02-08 16:18:31+00:00,https://twitter.com/Twitter/status/1491084033874345986,@louanben double dog?,39,40,1968,
2022-02-08 16:13:31+00:00,https://twitter.com/Twitter/status/1491082777021792262,"you ever think about Fleets? 
same.",11929,12100,116555,
2022-01-28 18:25:13+00:00,https://twitter.com/Twitter/status/1487129653777154056,@breefrmtx tell her Twitter replied to you,79,30,2200,
2022-01-27 20:58:13+00:00,https://twitter.com/Twitter/status/1486805769060331525,@FairyFiends 👀 https://t.co/9dR9SBapgW,111,143,428,
2022-01-27 20:49:07+00:00,https://twitter.com/Twitter/status/1486803477670023171,@Kingfikser 👀 https://t.co/KdGwMuVSKt,26,79,272,
2022-01-27 20:41:32+00:00,https://twitter.com/Twitter/status/1486801569567973381,@ketaminepatch @CowgirlsNFT 👀 https://t.co/gJxMjRh4Is,70,115,274,
2022-01-27 20:29:37+00:00,https://twitter.com/Twitter/status/1486798571609509894,@KamauKrypto 👀 https://t.co/nRXCTle5xd,17,30,100,
2022-01-27 20:18:48+00:00,https://twitter.com/Twitter/status/1486795847635554306,@WeAre_TheFour 👀 https://t.co/GyAcTlTNVC,15,16,74,
2022-01-26 21:19:30+00:00,https://twitter.com/Twitter/status/1486448736079433730,@CMDR_Nova 👀 https://t.co/0SH487BcOK,20,14,63,
2022-01-25 20:52:02+00:00,https://twitter.com/Twitter/status/1486079436583849995,@keyon we were the first keychain,5,1,258,
2022-01-24 17:16:49+00:00,https://twitter.com/Twitter/status/1485662886575976454,@hobisshawtyy 👀 https://t.co/jBccjHoKOM,21,58,282,
2022-01-24 17:03:53+00:00,https://twitter.com/Twitter/status/1485659634866266114,@JmsOG_NFT 👀 https://t.co/i9iewqTbYW,126,261,499,
2022-01-21 22:32:49+00:00,https://twitter.com/Twitter/status/1484655246609723392,@Crypto__Chicks 👀 https://t.co/2pN5JSh3ra,167,333,862,
2022-01-21 21:25:49+00:00,https://twitter.com/Twitter/status/1484638387445370885,@iris_luckysloth 👀 https://t.co/6tHckriRrx,36,103,210,
2022-01-21 21:13:14+00:00,https://twitter.com/Twitter/status/1484635219726684162,@mbarutcuART 👀 https://t.co/ORoQWIk66f,30,41,133,
2022-01-21 18:29:21+00:00,https://twitter.com/Twitter/status/1484593978502701059,@FairyFiends THE DETAILS. DMing you!,13,11,113,
2022-01-21 01:18:58+00:00,https://twitter.com/Twitter/status/1484334675870945285,@WeAre_TheFour flying into your DMs,14,8,65,
2022-01-21 01:13:53+00:00,https://twitter.com/Twitter/status/1484333392594231296,@FlowerGirlsNFT @VarvaraAlay we would love to see it too. DMing you @VarvaraAlay,32,34,162,
2022-01-21 00:55:46+00:00,https://twitter.com/Twitter/status/1484328836556726276,@Kingfikser so many choices. let's DM!,24,21,253,
2022-01-21 00:38:43+00:00,https://twitter.com/Twitter/status/1484324545741803521,"@designwithmj @Kingurantatata yes, great reco. gonna DM you",15,0,9,
2022-01-21 00:37:51+00:00,https://twitter.com/Twitter/status/1484324327470219274,"@ketaminepatch @CowgirlsNFT yeehaw, we love! sliding into your DMs @CowgirlsNFT",68,116,397,
2022-01-21 00:36:22+00:00,https://twitter.com/Twitter/status/1484323955007582209,@JmsOG_NFT big fan of dogs. sliding into your DMs,255,242,740,
2022-01-20 23:34:03+00:00,https://twitter.com/Twitter/status/1484308272614031371,@Zebmp4 bold as can be. follow us so we can DM you!,10,3,27,
2022-01-20 23:06:31+00:00,https://twitter.com/Twitter/status/1484301341862371330,@Crypto__Chicks into it. DMing you now!,74,93,373,
2022-01-20 22:55:27+00:00,https://twitter.com/Twitter/status/1484298554789314563,@hobisshawtyy OBSESSED. DMing you,28,24,269,
2022-01-20 22:53:48+00:00,https://twitter.com/Twitter/status/1484298143508443146,"@MuskanRaina97 DMing you now, deer",6,0,14,
2022-01-20 22:18:10+00:00,https://twitter.com/Twitter/status/1484289173473447943,"@iris_luckysloth thank you for the flower, please accept this DM",30,21,189,
2022-01-20 22:16:19+00:00,https://twitter.com/Twitter/status/1484288707347767298,"@nygi_xxv truly amazing, DMing you",7,5,47,
2022-01-20 22:13:58+00:00,https://twitter.com/Twitter/status/1484288116064202754,@KamauKrypto perhaps! sliding into your DMs,21,15,119,
2022-01-20 21:50:41+00:00,https://twitter.com/Twitter/status/1484282258370576398,"@mbarutcuART looks delicious, DMing you",25,20,103,
2022-01-20 19:24:18+00:00,https://twitter.com/Twitter/status/1484245417009242115,@hotgirltas we've observed and we love. DMing you!,68,35,475,
2022-01-20 19:06:13+00:00,https://twitter.com/Twitter/status/1484240867615457285,@CMDR_Nova a true artist. sliding into your DMs!,43,4,68,
2022-01-20 18:49:54+00:00,https://twitter.com/Twitter/status/1484236763476508683,@yuckcrypto 👀 https://t.co/qJsgsRVG2K,235,53,313,
2022-01-20 18:46:54+00:00,https://twitter.com/Twitter/status/1484236007893798912,"gm, looking for an nft pfp",15674,5524,50808,
2022-01-20 15:17:59+00:00,https://twitter.com/Twitter/status/1484183431395352576,"@BenTelerski 🟩🟩🟩🟩 🟩🟩🟩 🟩🟩🟩
(L O V E  Y O U  B E N)",3,0,22,
2022-01-20 15:16:22+00:00,https://twitter.com/Twitter/status/1484183023948021760,@BenTelerski good word choice,8,0,12,
2022-01-19 23:26:51+00:00,https://twitter.com/Twitter/status/1483944068887552004,"@Azwii_N want this for you, Tweeting it into existence x2",3,2,14,
2022-01-19 23:26:10+00:00,https://twitter.com/Twitter/status/1483943899290910721,@Guapaoflagos just promise us we'll get tickets,22,1,16,
2022-01-19 23:25:48+00:00,https://twitter.com/Twitter/status/1483943807838212098,@JoshuaKissi dream show to direct? 👀,3,0,14,
2022-01-19 23:25:23+00:00,https://twitter.com/Twitter/status/1483943703844634624,@ImAlfie_iRock sending only green vibes 💚✅🍀🟢,3,2,16,
2022-01-19 23:25:05+00:00,https://twitter.com/Twitter/status/1483943625822199813,@gendadszz see you at graduation in a few years,1,1,14,
2022-01-19 23:24:38+00:00,https://twitter.com/Twitter/status/1483943513956003846,@foreverrraging see you in the app store,4,0,6,
2022-01-19 23:24:11+00:00,https://twitter.com/Twitter/status/1483943399543779329,@Natasha_0918 beep beep you're coming through,1,1,8,
2022-01-19 23:23:40+00:00,https://twitter.com/Twitter/status/1483943269553909765,@thehcndmaiden straight As are in your future no doubt,1,2,27,
2022-01-19 23:23:17+00:00,https://twitter.com/Twitter/status/1483943171700760577,@OgeTheYogi feels like this is coming soon,4,2,34,
